molecule,group,test,basis,element,seed,n_params,n_flipped,theta_scale,theta_offmanifold_max,energy_ha,delta_energy_ha,delta_energy_rel,state_residual,grad_max_removed,grad_max_kept
NH3,Cs,T2_negative_control,rotated_30deg,1,1900,135,60,0.5,0.4964974700840382,-40.68283728854867,0.005026193745514718,0.00012354580163290337,,,
NH3,Cs,T2_negative_control,rotated_30deg,1,1901,135,60,0.5,0.49810039895476765,-40.09762493977414,0.00048496649117169,1.2094643807459926e-05,,,
NH3,Cs,T2_negative_control,rotated_30deg,1,1902,135,60,0.5,0.47898206024145906,-41.29396394580989,0.005425640779662899,0.00013139065038132383,,,
NH3,Cs,T2_negative_control,rotated_30deg,1,1903,135,60,0.5,0.49081719378161315,-40.68085203262666,5.570355512674041e-05,1.3692819187283814e-06,,,
NH3,Cs,T2_negative_control,rotated_30deg,1,1904,135,60,0.5,0.49460962726984414,-40.71830537993721,0.003732654096374688,9.167017294913867e-05,,,
CH4,D2,T2_energy_invariance,adapted,1,1000,230,110,0.5,0.49711136618867047,-26.582515189549387,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,2,1000,230,110,0.5,0.49711136618867047,-26.582515189549387,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,3,1000,230,110,0.5,0.49711136618867047,-26.582515189549387,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,1,1001,230,110,0.5,0.4882089093342594,-25.490202836022956,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,2,1001,230,110,0.5,0.4882089093342594,-25.490202836022956,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,3,1001,230,110,0.5,0.4882089093342594,-25.490202836022956,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,1,1002,230,110,0.5,0.4977920691498944,-26.314729974762674,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,2,1002,230,110,0.5,0.4977920691498944,-26.314729974762674,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,3,1002,230,110,0.5,0.4977920691498944,-26.314729974762674,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,1,1003,230,110,0.5,0.49686439225441603,-26.6468669451433,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,2,1003,230,110,0.5,0.49686439225441603,-26.6468669451433,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,3,1003,230,110,0.5,0.49686439225441603,-26.6468669451433,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,1,1004,230,110,0.5,0.499119547259285,-25.770073140025577,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,2,1004,230,110,0.5,0.499119547259285,-25.770073140025577,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,3,1004,230,110,0.5,0.499119547259285,-25.770073140025577,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,1,1005,230,110,0.5,0.49740485593373973,-25.944362300168716,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,2,1005,230,110,0.5,0.49740485593373973,-25.944362300168716,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,3,1005,230,110,0.5,0.49740485593373973,-25.944362300168716,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,1,1006,230,110,0.5,0.4995962207576975,-25.751299355870113,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,2,1006,230,110,0.5,0.4995962207576975,-25.751299355870113,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,3,1006,230,110,0.5,0.4995962207576975,-25.751299355870113,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,1,1007,230,110,0.5,0.49340425567535695,-26.437523449610524,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,2,1007,230,110,0.5,0.49340425567535695,-26.437523449610524,3.552713678800501e-15,1.3438148567780616e-16,0.0,,
CH4,D2,T2_energy_invariance,adapted,3,1007,230,110,0.5,0.49340425567535695,-26.437523449610524,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,1,1008,230,110,0.5,0.49747362890812985,-26.26308155489041,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,2,1008,230,110,0.5,0.49747362890812985,-26.26308155489041,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,3,1008,230,110,0.5,0.49747362890812985,-26.26308155489041,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,1,1009,230,110,0.5,0.4979583387419463,-26.825206590758846,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,2,1009,230,110,0.5,0.4979583387419463,-26.825206590758846,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,3,1009,230,110,0.5,0.4979583387419463,-26.825206590758846,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,1,1010,230,110,0.5,0.4978700683156747,-26.23002114528173,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,2,1010,230,110,0.5,0.4978700683156747,-26.23002114528173,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,3,1010,230,110,0.5,0.4978700683156747,-26.23002114528173,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,1,1011,230,110,0.5,0.49923147111972876,-26.394403947703708,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,2,1011,230,110,0.5,0.49923147111972876,-26.394403947703708,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,3,1011,230,110,0.5,0.49923147111972876,-26.394403947703708,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,1,1012,230,110,0.5,0.4982568887384221,-26.453758609623847,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,2,1012,230,110,0.5,0.4982568887384221,-26.453758609623847,3.552713678800501e-15,1.3429901327927093e-16,0.0,,
CH4,D2,T2_energy_invariance,adapted,3,1012,230,110,0.5,0.4982568887384221,-26.453758609623847,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,1,1013,230,110,0.5,0.49876395760737025,-25.9080932193575,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,2,1013,230,110,0.5,0.49876395760737025,-25.9080932193575,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,3,1013,230,110,0.5,0.49876395760737025,-25.9080932193575,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,1,1014,230,110,0.5,0.49839061298528586,-26.913934052408294,3.552713678800501e-15,1.3200276376847997e-16,0.0,,
CH4,D2,T2_energy_invariance,adapted,2,1014,230,110,0.5,0.49839061298528586,-26.913934052408294,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,3,1014,230,110,0.5,0.49839061298528586,-26.913934052408294,3.552713678800501e-15,1.3200276376847997e-16,0.0,,
CH4,D2,T2_energy_invariance,adapted,1,1015,230,110,0.5,0.4934557563971488,-25.95770507695911,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,2,1015,230,110,0.5,0.4934557563971488,-25.95770507695911,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,3,1015,230,110,0.5,0.4934557563971488,-25.95770507695911,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,1,1016,230,110,0.5,0.49884307204484324,-25.967000196884314,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,2,1016,230,110,0.5,0.49884307204484324,-25.967000196884314,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,3,1016,230,110,0.5,0.49884307204484324,-25.967000196884314,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,1,1017,230,110,0.5,0.49847215072154605,-26.069698594754808,3.552713678800501e-15,1.3627751260289993e-16,0.0,,
CH4,D2,T2_energy_invariance,adapted,2,1017,230,110,0.5,0.49847215072154605,-26.069698594754808,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,3,1017,230,110,0.5,0.49847215072154605,-26.069698594754808,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,1,1018,230,110,0.5,0.4989801740977091,-26.966638434541924,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,2,1018,230,110,0.5,0.4989801740977091,-26.966638434541924,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,3,1018,230,110,0.5,0.4989801740977091,-26.966638434541924,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,1,1019,230,110,0.5,0.4895538762275442,-26.151608667465954,0.0,0.0,0.0,,
CH4,D2,T2_energy_invariance,adapted,2,1019,230,110,0.5,0.4895538762275442,-26.151608667465954,3.552713678800501e-15,1.3585067457897047e-16,0.0,,
CH4,D2,T2_energy_invariance,adapted,3,1019,230,110,0.5,0.4895538762275442,-26.151608667465954,0.0,0.0,0.0,,
CH4,D2,T3_removed_gradient,adapted,,1500,230,165,0.0,0.0,-39.72681011479772,,,,2.321466883643639e-15,0.8139589291814261
CH4,D2,T3_removed_gradient,adapted,,1501,230,165,0.5,0.0,-26.26634136239824,,,,3.716921438813558e-16,3.587432261348415
CH4,D2,T3_removed_gradient,adapted,,1502,230,165,0.5,0.0,-26.024555713548843,,,,5.523113755151243e-16,4.792654822507693
CH4,D2,T3_removed_gradient,adapted,,1503,230,165,0.5,0.0,-26.583313724761698,,,,3.637196364808088e-16,6.631200690878842
CH4,D2,T3_removed_gradient,adapted,,1504,230,165,0.5,0.0,-28.973427153935955,,,,4.3269459433671914e-16,11.361893376841172
CH4,D2,T3_removed_gradient,adapted,,1505,230,165,0.5,0.0,-24.276991993306087,,,,2.766259859040319e-16,5.028312629408277
CH4,D2,T3_removed_gradient,adapted,,1506,230,165,0.5,0.0,-26.14804523659144,,,,2.1473781523003168e-16,4.640338827081789
CH4,D2,T3_removed_gradient,adapted,,1507,230,165,0.5,0.0,-29.30175052461048,,,,4.3722659739236513e-16,5.1598320495647005
CH4,D2,T3_removed_gradient,adapted,,1508,230,165,0.5,0.0,-26.44087352912738,,,,3.743242155048932e-16,5.078045946811045
CH4,D2,T3_removed_gradient,adapted,,1509,230,165,0.5,0.0,-27.968892420016196,,,,3.7195323107940515e-16,6.038221402141948
CH4,D2,T3_removed_gradient,adapted,,1510,230,165,0.5,0.0,-25.847196274428338,,,,2.5416269134790294e-16,4.670411857235312
CH4,D2,T3_removed_gradient,adapted,,1511,230,165,0.5,0.0,-25.468027977717938,,,,5.458579424513451e-16,5.410418738178574
CH4,D2,T3_removed_gradient,adapted,,1512,230,165,0.5,0.0,-27.068008946052633,,,,5.667547064405187e-16,3.152700938626266
CH4,D2,T3_removed_gradient,adapted,,1513,230,165,0.5,0.0,-25.986124368587298,,,,2.699045923619585e-16,2.867059371894375
CH4,D2,T3_removed_gradient,adapted,,1514,230,165,0.5,0.0,-26.839062092711554,,,,3.461069592948789e-16,3.4813498080297656
CH4,D2,T3_removed_gradient,adapted,,1515,230,165,0.5,0.0,-25.854585111337816,,,,3.985812276331916e-16,6.169776336133211
CH4,D2,T3_removed_gradient,adapted,,1516,230,165,0.5,0.0,-25.89272933040091,,,,3.0158651660573946e-16,4.071394811263791
CH4,D2,T3_removed_gradient,adapted,,1517,230,165,0.5,0.0,-26.167716276810662,,,,2.469488139969544e-16,4.724523375326803
CH4,D2,T3_removed_gradient,adapted,,1518,230,165,0.5,0.0,-28.462735537414282,,,,4.976259092324406e-16,4.735265147174794
CH4,D2,T3_removed_gradient,adapted,,1519,230,165,0.5,0.0,-26.090051936484198,,,,2.7325622431769435e-16,3.537262389178453
CH4,D2,T2_negative_control,rotated_30deg,1,1900,230,110,0.5,0.4964974700840382,-26.65457962891057,0.003520489522447434,0.00013207822338450902,,,
CH4,D2,T2_negative_control,rotated_30deg,2,1900,230,110,0.5,0.4964974700840382,-26.65457962891057,0.0035204895224438815,0.00013207822338437574,,,
CH4,D2,T2_negative_control,rotated_30deg,3,1900,230,110,0.5,0.4964974700840382,-26.65457962891057,0.0,0.0,,,
CH4,D2,T2_negative_control,rotated_30deg,1,1901,230,110,0.5,0.49894563697177696,-26.58139684596149,0.008105092251668111,0.00030491596429777233,,,
CH4,D2,T2_negative_control,rotated_30deg,2,1901,230,110,0.5,0.49894563697177696,-26.58139684596149,0.008105092251668111,0.00030491596429777233,,,
CH4,D2,T2_negative_control,rotated_30deg,3,1901,230,110,0.5,0.49894563697177696,-26.58139684596149,0.0,0.0,,,
CH4,D2,T2_negative_control,rotated_30deg,1,1902,230,110,0.5,0.4956470870066586,-26.78430104909341,0.00567916404806823,0.00021203331151553262,,,
CH4,D2,T2_negative_control,rotated_30deg,2,1902,230,110,0.5,0.4956470870066586,-26.78430104909341,0.00567916404806823,0.00021203331151553262,,,
CH4,D2,T2_negative_control,rotated_30deg,3,1902,230,110,0.5,0.4956470870066586,-26.78430104909341,0.0,0.0,,,
CH4,D2,T2_negative_control,rotated_30deg,1,1903,230,110,0.5,0.49081719378161315,-26.5284246974525,0.006739286800090838,0.000254040218254573,,,
CH4,D2,T2_negative_control,rotated_30deg,2,1903,230,110,0.5,0.49081719378161315,-26.5284246974525,0.006739286800087285,0.00025404021825443907,,,
CH4,D2,T2_negative_control,rotated_30deg,3,1903,230,110,0.5,0.49081719378161315,-26.5284246974525,0.0,0.0,,,
CH4,D2,T2_negative_control,rotated_30deg,1,1904,230,110,0.5,0.4962482351097346,-26.224666415393422,0.004336769521334105,0.00016536986410582127,,,
CH4,D2,T2_negative_control,rotated_30deg,2,1904,230,110,0.5,0.4962482351097346,-26.224666415393422,0.004336769521334105,0.00016536986410582127,,,
CH4,D2,T2_negative_control,rotated_30deg,3,1904,230,110,0.5,0.4962482351097346,-26.224666415393422,0.0,0.0,,,
